OriginalTerm,MatchingTerm1,MatchingTerm2,MatchingTerm3,MatchingTerm4,MatchingTerm5
Plastic pellets,plastic_pellet,,,,
Plastic plant,plastic_product,,,,
Plastic recycler,plastic_recycling,waste_plastic_recycling,,,
Plastic recycler A,plastic_recycling,waste_plastic_recycling,,,
Poongsan Metal,,,,,
Posco,,,,,
Poultry and livestock,livestock_and_poultry_farm,,,,
Power plant gypsum,flue_gas_desulfurization_gypsum,flue_gas_desulfurization_gypsum,,,
Power plant1,power_plant,,,,
Power plant2,power_plant,,,,
Press board industry,pressboard,,,,
PungSan Metal,,,,,
Purification of water,water_purification,,,,
Pyroneer,,,,,
Rdf material,refuse_derived_fuel,,,,
RDF Plant H,refuse_derived_fuel,,,,
Re-use basin,,,,,
Reclaimed water(Le),reclaimed_water,,,,
Recovered fiber,,,,,
Recovery of nickel and vanadium,,,,,
Recovery of white water,white_water_waste,,,,
Refinery residues,,,,,
Region of graz,,,,,
Region of Voitsberg,,,,,
Reservoir of Lake Tisse,water_reservoir,,,,
Residues from flax refining,,,,,
Returpack,,,,,
RGS 90,,,,,
Rosti-Pripac,,,,,
Rubble scraps,rubber_scraps,,,,
S-Oil,,,,,
Salt Farm,,,,,
Salt Gypsum,,,,,
Salt Gypsum Production,,,,,
Samsung Petrochemical,petrochemical_plant,petrochemical_industry,,,
Samyang Cor.,,,,,
Saw mills,sawmills,,,,
Scrap material dealer,scrap_metal,,,,
Scrap metal (Le),scrap_metal,,,,
Scrap plastic,scrap_plastic,,,,
Seafood processing plant,seafood_processing_industry,,,,
Seed cake,seed_cake,,,,
SGR Tech,,,,,
Sheet material plant,sheet_material,,,,
Shengyang Chemical Co. Ltd,,,,,
Shenyang Hongmei monosodium glutamate Co. Ltd,monosodium_glutamate,,,,
Shenyang Huarun Xuehua Beer Corporation Ltd,beer,,,,
Shinagawa Thermal Ceramics,,,,,
Si-Al-Ti Alloy Production plant,,,,,
Sieving powder (Le),,,,,
Sigma Samsung,,,,,
Silica Production plant,silica,,,,
SinHung Oil,,,,,
SK energy,,,,,
SKC,,,,,
Solvent recycling plant,solvent_recycling,,,,
Sound absorption materials plant,sound_absorbing_material,,,,
Spare parts company,,,,,
Spent lead acid batteries,waste_lead_acid_batteries,waste_lead_acid_battery,,,
Statoil Refinery,petroleum_refinery,oil_refinery,,,
Steam (Le),waste_steam,,,,
